ppracer	0.5_alpha1
pptpclient	1.7.0
procps	3.2.7
psmisc	22.3
psutils	1.17
pth	2.0.7
pwc	10.0.12_20060927
pwdb	0.62
pycairo	1.2.2
pygobject	2.12.2
pygtk	2.10.3
PyKDEeXtensions	0.4
PyKDE	3.16.0
pyparted	1.7.1
PyQt	3.17
pyrex	0.9.4.1
python	2.4.4
python-bsddb3	4.4.2
python-fchksum	1.7.1
python-iptables	0.2
qca-tls	1.0
qscintilla	1.7
qt	3.3.7
rar	3.6.0
rdate	1.4
rdesktop	1.4.1
readline	5.1
reiserfsprogs	3.6.20
rpcalc	0.4.3
rp-pppoe	3.8
rt2400	1.2.2_2006120914
rt2500	1.1.0_2006120914
rt2570	1.1.0_2006120914
rt61	1.1.0_2006120914
rt73	0.0_2006120914
ruby	1.8.5_p2
samba	3.0.23_p3
sane-backends	1.0.18
schedtool	1.2.6
schedutils	1.5.0
scons	0.96.1
screen	4.0.3
sdljump	1.0.0
sdl-gfx	2.0.13
sdl-image	1.2.5
sdl-mixer	1.2.7
sdl-net	1.2.6
sdl-pango	0.1.2
SDL-Perl	2.1.3
sdl-sound	1.0.1
sdl-ttf	2.0.8
sdparm	1.00
sed	4.1.5
service-manager	1.1.5
setserial	2.17
sg3_utils	1.22
shadow	4.0.18.1
shared-mime-info	0.18
sharutils	4.6.1
sip	4.5.2
slang	1.4.9
slmodem	2.9.11_20061021
smartdimmer	0.1
smb4k	0.7.5
smpeg	0.4.4
sox	12.18.2
speedtouch-firmware	3.0.1
speex	1.1.10
spidermonkey	1.5
splashutils	1.3
splashutils-misc	0.1.5
splash-theme	0.5
sqlite2	2.8.17
sqlite	3.3.8
squashfs-tools	3.1_p2
sshfs	1.7
startup-notification	0.8
strace	4.5.14
subversion	1.4.2
sudo	1.6.8_p12
sun-jre	1.5.0.10
suspend	0.5
swig	1.3.29
synaptics	0.14.6
sysfsutils	2.1.0
sysinfo	1.3
sysklogd	1.4.1
sysvinit	2.86
taglib	1.4
tar	1.16.1
tasma	1.1
tcltk	8.5_alpha5
tcl	8.5_alpha5
tcpdump	3.9.4
tcp-wrappers	7.6
telnet-bsd	1.2
testdisk	6.5
texinfo	4.8
tiff	3.8.2
timidity	2.13.2
timidity-shompatches	0.409
tn5250	0.17.3
traceroute	1.4_alpha12
transcode	1.0.2
tulliana2	1.0
tunepimp	0.4.2
twolame	0.3.8
udev	103
ufraw	0.8.1
uhinv	0.4
unace	2.5
unarj	2.63a
ungrab-winmodem	1
unionfs	20060916
unrar	3.6.8
unshield	0.5
unzip	5.52
usbutils	0.71
user-manager	1.0
utempter	0.5.5.5
util-linux	2.13_pre7
util-macros	1.1.3
vbetool	0.7.1
vcdimager	0.7.23
vim	7.0
vixie-cron	4.1
vorbis-tools	1.1.1
wget	1.10.2
which	2.16
whois	4.7.19
wireless-tools	29_pre10
wpa_supplicant	0.5.6
x11-ssh-askpass	1.2.4.1
x264	0.54.596
Xaw3d	1.5
xbitmaps	1.0.1
xdelta	1.1.3
xfsprogs	2.8.11
xine-lib	1.1.3
xmlsec	1.2.9
XML-Parser	2.34
xmoto	0.2.2
xorg-app	7.2_rc3
xorg-data	7.1
xorg-font	7.2_rc1
xorg-input	7.2_rc1
xorg-proto	7.2_rc1
xorg-server	7.2_rc3
xorg-util	7.1
xorg-video	7.2_rc3
xscreensaver	5.01
xtrans	1.0.2
xvid	1.1.2
yacc	1.9.1
yakuake	2.7.5
YAML	0.62
zd1201-firmware	0.4
zd1211-firmware	1.2
zemberek-openoffice	1.0
zemberek-server	0.6
zip	2.32
zlib	1.2.3
zorg	0.3
zpspell	0.3
zvbi	0.2.22
